rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,local_result,anthropic_result,semantic_score_anthropic
5,Great refreshing skin care routine!,"I had never tried anything for my skin consisting of pomegranate, so I was anxious to try this. It actually is an entire skin care regimine containing a cleanser, a toner, a facial cream, an eye cream and overall moisurizers. I actually was quite surprised how well this worked from start to finish. It was nice having an entire skin care routine in one package (instead of me working with various separate products. Fragrance is light and smells almost apple-like (but very light). I particularly like the cleanser and the toner. It also comes in a beautiful gift box so this would make a wonderful gift for someone. I bought another for my mother-in-law and plan to give it to her when we visit next month. Highly recommend!",[],B08GLG6W8T,B08GLG6W8T,AFSKPY37N3C43SOI5IEXEK5JSIYA,2021-02-14 16:13:56.253,0,False,Pomegranate skin care system is effective.,"Pomegranate skincare set: effective, comprehensive.",0.1818181818181818
3,Didn't do much and difficult to place and maintain on your face,"When I saw this, I was thrilled to be able to try it. I have suffered from bags and dark circles under my eyes for years now. I have been 'using' this for almost three weeks and I am not happy with it. First, it's almost impossible for me to keep it in place under my eyes. They come wet out of the packet and I was unsure what side was supposed to be placed on my skin. They do not stay in place and I found them falling off easily. Of course, maybe it was me or my skin, so please don't just rely on my review (read others). I will not be reordering.",[],B08M3C6LVS,B08M3C6LVS,AFSKPY37N3C43SOI5IEXEK5JSIYA,2020-12-07 11:11:00.872,0,False,Product fell out from under eyes.,Eye patches disappointing; won't reorder.,0.08333333333333333
5,"Quality hair iron, works perfectly to straighten my hair!","This is a great hair straightener. Heats up quickly and evenly, makes it easy to take the curl out of my naturally wavy hair. It fits easily in my hand and maneuvers around the front and back of my head easily. Does not heat up my countertop (keeps the heat on the iron). I love this pink, too, it matches my decor perfectly. I highly recommend this Bellezza styler.",[],B07GHPCT6T,B07GHPCT6T,AFSKPY37N3C43SOI5IEXEK5JSIYA,2020-08-23 19:54:36.613,0,False,Great hair straightener for wavy hair.,"Great straightener, easy use, recommended.",0.1818181818181818
5,Great all natural ear swabs!,"I really like these ear swabs. First they come in a large, handy box and are easy to store (will last a long time). Second, they are all organic and good for the environment. Third, they are strong and don't fall apart very easily. I highly recommend these over Q-Tips (which I have used for years).",[],B07KG1TWP5,B07KG1TWP5,AFSKPY37N3C43SOI5IEXEK5JSIYA,2020-08-03 16:49:11.088,0,False,Effective ear swabs for gentle use.,"Organic, durable, eco-friendly ear swabs.",0.26666666666666666
5,Wonderful overnight cream!,"To be honest, I rarely have used an overnight cream. Typically, my skin care routine is the same morning and night (wash, apply hyalauronic serum, and some kind of moistutrizer). So, when I saw this Iryasa cream I wanted to try it. Easy to apply, you can immediately feel the moisture starting to work. I do apply this about 30 minutes before I actually go to sleep to allow it time to be absorbed (before putting my face on my pillow) as it is a thicker type of cream and needs time. My skin in the morning feels better than ever. Soft and supple, I definitely feel a difference after using this for over 2 weeks now. I highly recommend this cream for women and men.",[],B07W397QG4,B07W397QG4,AFSKPY37N3C43SOI5IEXEK5JSIYA,2020-06-28 13:53:42.858,1,False,Overnight cream helps soften and hydrate skin.,"Overnight cream moisturizes, softens skin.",0.43333333333333335
5,This really works!,"At first when I saw this, I wasn't sure what this. I looked at the reviews (which were mostly positive) and thought I would give it a try. My skepticism was quickly diminished after trying this for just a few days. I typically shower every morning and I have Vitamin C and Retinol that I apply to my face. So, when I got this I put it in the freezer and followed the instructions. So, instead of just applying the serums to my face, I started using this roller along with the serums. After less than a week I noticed much less puffiness around my eyes (and I am prone to that area to have bags and puffiness). I also noticed my skin looking noticeably better overall. I think applying this roller to my skin allows the pores to absorb the serums faster and deeper. I will continue to use this going forward. I am really impressed with the results!",[],B07GDQPG12,B07GDQPG12,AFSKPY37N3C43SOI5IEXEK5JSIYA,2019-01-15 22:04:03.451,0,False,Improving skin via cold facial roller.,"Roller reduces puffiness, improves skin.",0.3838383838383838
5,Nice manicure set for men or women,"This a really cute kit which would make for a great gift for someone. It is in a little leather like pouch and has everything you need to give yourself a quality manicure. The nail clipper is a perfect size and works just as well on a women or man's nails. The file is nice as well (although I still prefer to use emory boards on mine). I actually bought another one of these to give to my son as a stocking stuffer this last Christmas for him to use at college. Just a nice, quality made kit at a reasonable price.",[],B07J3GH1W1,B07J3GH1W1,AFSKPY37N3C43SOI5IEXEK5JSIYA,2019-01-15 21:55:56.557,0,False,Portable manicure kit with great quality.,"Manicure kit: quality, compact, gift-worthy.",0.35000000000000003
5,Great combo pack. Wish I had been using this years ago!,"I love this combo package, particularly the flosser. This makes a great gift package for someone you love, giving them everything they need to keep their mouth/gum health optimal. I have had issues (particularly gums) for the past 5 years. No ones fault but my own for not taking care of my mouth the way I should have all these years. This flosser is great. I fill it with Act Restoring mouthwash and use it after brushing. It amazes me how much stuff this flosser removes with a simple puff of air. Of course, you can purchase both these items separately, but you save in getting them together. Sonicare  makes the best tooth/gum care products on the market bar none!",[],B01M7UMAUG,B01M7UMAUG,AFSKPY37N3C43SOI5IEXEK5JSIYA,2017-10-23 14:57:04.887,0,False,Effective oral care products available.,"Flosser, mouthwash combo improves gum health.",0.0
3,I just don't get it,"I don't see the fuss with this toothbrush. As was mentioned in other reviews, it is smaller and more lightweight than other rechargeable toothbrushes. But, beyond that, I just don't get i. I stopped using my older Phillips Sonicare to use this for the past two+ weeks. The vibrations on this brush are very small and I find myself pushing the toothbrush into my teeth and scrubbing to be sure they are getting clean. Maybe there is some secret sonic vibration thing going on, but it didn't happen for me. If I didn't actually have to still 'brush my teeth' manually with this electric toothbrush, maybe it would be fine. However, it's not the case. Without manual intervention, my teeth did not feel clean. As an fyi, I stopped using it this morning and went back to my Phillips.",[],B00JMDPK8S,B00JMDPK8S,AFSKPY37N3C43SOI5IEXEK5JSIYA,2014-07-03 15:47:43.000,0,False,Disappointing experience with this toothbrush.,"Lightweight toothbrush, weak vibrations, disappointing.",0.20000000000000004
5,Five Stars,So many great diverse colors,[],B01ETWL5B2,B01ETWL5B2,AG35BKPUEUMX7LV5YLOQ5YCQ3GOA,2016-10-06 12:17:06.000,0,True,A wide variety of vibrant colors.,Diverse colors offer great variety.,0.1818181818181818
5,You won’t regret this purchase.,"Got my new eyebrows in mail today.  Magically my baby caterpillars grew into gorgeous mama size ones.  Papa caterpillar loved the look.  And the eyebrow pen, tweezers and brow shaper templates were just an extra nice bonus!  Thank you.",[],B07ZJKVVLW,B07ZJKVVLW,AHPUT3ITXCHQJO7OMF74LEMYHIVA,2020-01-09 23:19:44.772,430,True,Received eyebrow grooming products arrived today.,Eyebrows transformed; papa caterpillar approves.,0.0909090909090909
5,nice sized !,i had a small one  that just got destroyed  these wires are much longer and bigger  i expect to live a lot longer than the tiny one i had !,[],B082QX2HP6,B082QX2HP6,AHGAOIZVODNHYMNCBV4DECZH42UQ,2020-03-21 14:04:53.853,0,True,New batteries have longer expected life.,"Upgraded wires, longer life expected.",0.2727272727272727
3,just ok,its OK  not as good as the  original Wet Brush  just a knock off,[],B077SRDVG9,B077SRDVG9,AHGAOIZVODNHYMNCBV4DECZH42UQ,2018-03-26 19:17:04.726,0,True,Not as good as original.,Inferior imitation of original brush.,0.10000000000000002
1,not what it claims to do,nothing special  unfortunately i waited too long to return them ....  no results at all  dont waste your money,[],B01AKTGHFW,B01AKTGHFW,AHGAOIZVODNHYMNCBV4DECZH42UQ,2017-07-23 00:15:14.981,0,True,Waste of time and money too.,"Ineffective, delayed return, money wasted.",0.1818181818181818
5,Moisturizing and cost efficient,I love the cocoa butter and shea butter. I hear the shea butter up and whip it until it softens.,[],B079SMVSYW,B079SMVSYW,AFGEM6BXCYHUILEOA3P2ZYBEF2TA,2020-10-19 18:03:29.586,0,True,Using shea butter for moisturizing purposes.,Whipped shea and cocoa butters.,0.1818181818181818
2,I'll stick to my 5 blade razor.,"I think I need to stick with my 5 blade razor. This razor is not only difficult to hold & is made of a hard slick plastic with no grippers, but doesn't shave as well as my 5 blade razor. The style is nice, but the functionality is not.",[],B07K8VTT6M,B07K8VTT6M,AGC3Q6IXOVLTTDMS4Q55FPYUF6FQ,2020-05-17 14:00:40.497,0,True,5-blade razor outperforms the new one.,"Hard to grip, underperforms five-blade.",0.07692307692307691
2,Ineffective,A total waste of money.  I get better results using a tea bag to alleviate under eye swelling.,[],B083BDVS36,B083BDVS36,AHZ6XMOLEWA67S3TX7IWEXXGWSOA,2021-05-18 16:55:42.148,0,True,Other methods work better than product.,"Ineffective, teabags work better instead.",0.29292929292929293
5,Love!,"Didn’t expect much but got a nice beautiful surprise! These are nothing short of awesome. Stay on your head - no matter how big your noggin is or how much crazy hair you have. I need to buy more - my daughters have taken all!! The price, quantity and quality is nothing short of “ best deal ever”!!!!",[],B07H6YGKVJ,B09FP8PP2K,AH6ZNRRCEEWR6P34CNLQ2LRLUU3Q,2019-09-11 21:07:43.550,0,True,Incredibly happy with this awesome accessory.,"Surprisingly awesome, high-quality head accessory.",0.16666666666666666
1,halo hair extensions,"This halo hair extension is simply put, garbage.  Now, you get what you pay for.  And this is a very cheap version.  The faux hair is very shiny and looks literally like bad barbie hair.  It looks WAY better in the photos than in real life.  The color is horrific, in my opinion of course.  The streaks are like paint strips.  And all of that would be one thing - but the worst is that the hair completely fell out!  I had hand fulls of hair strands just trying to put the halo on!  And you might think - well, maybe a little loss is to be expected?  Except this was handfuls and handfuls.  I literally dropped the whole thing right into the trash.  I would say this one is a pass for hair loss alone.  Having said all of this, I never hesitate to update my reviews should new info seem useful. All of my reviews reflect my honest, personal experience with the reviewed item - your experience may be different. I am not influenced by any outside source. I receive/accept NO free products or discounts that are not available to all shoppers- ever. For some reason our shopper ranks are no longer visible - so, to give you a little more info about me, I am a top 50 reviewer (#30 the highest rank achieved). Those numbers used to fluctuate over time - up and down but I noticed that they stopped updating regularly - perhaps to phase them out. It's a shame because it did help you see who has been around the longest and who is a trustworthy reviewer.  I've been doing reviews for over 25 years with Amazon - over 6,000 reviews posted, those reviews have been viewed well over 50,000 times, including well over 25,000 likes. Bottom line, I pay for all my stuff, just like you do.",[],B0BFR5WF1R,B0BFR5WF1R,AFZUK3MTBIBEDQOPAK3OATUOUKLA,2023-02-08 03:18:53.052,4,True,Cheap halo hair extension review failure.,"Cheap, shiny, shedding barbie hair.",0.1818181818181818
5,clip rollers,"I purchased these to see if I could set my mom's hair.  She has fine, thin, short hair and I think these could be fun once in a while for a fluffy set.  Mom is 81.  These are super old school - hoping I can do it with a little foam styling product.",[],B00946GD7K,B00946HGLW,AFZUK3MTBIBEDQOPAK3OATUOUKLA,2020-08-08 15:44:00.832,0,True,Using setting sprays on mom's short hair.,Old-school rollers for mom's hair.,0.2769230769230769
3,replacement filing discs,I purchased the tool for my 80 year old mom because she like to file her own toes and fingers.  This tool makes it so she can.  The thing I don't like?  That you have to purchase ALL four files - the buffing files (2 of the 4) are useless.  So - it would be nice to be able just to purchase the green and blue ones.  The buffing files just go into the trash.,[],B082FLP15V,B082FLP15V,AFZUK3MTBIBEDQOPAK3OATUOUKLA,2020-06-18 04:00:52.671,1,True,Tool is not entirely useful purchase actually.,"Helpful for elderly, some waste.",0.0
5,They smell good. They are just the right size,I'm a BIG wet nap fan.  Always have been.  They smell good.  They are just the right size.  I carry them every where.  They don't leak like a bottle of hand santizer and fit in any pocket.  1000?  Yeah.  It's alot...but I'm happy to use them freely.  And quit looking for ways to pocket them at a restaurant.  :)  They arrived quickly (I have prime) and in very good shape!,[],B0020MKBNW,B0020MKBNW,AFZUK3MTBIBEDQOPAK3OATUOUKLA,2014-07-22 23:53:19.000,4,True,User is very happy with naps.,Wet nap fan loves convenience.,0.0909090909090909
5,QUICK RAIN PROTECTION,"Rrain hats are really handy when<br />one doesn't have an umbrella, and<br />easy to carry in a purse or pocket.",[],B00023J4AW,B00023J4AW,AFKNVFEXRGUGJAGMENCOWLVDYVCQ,2020-12-25 22:40:24.878,0,True,Rain hats provide dry alternative option.,Portable rain protection without umbrella.,0.0909090909090909
4,Good Product,"Worked out fine.  Just a bit tight, but o.k.",[],B005IYYF5E,B005IYYF5E,AFKNVFEXRGUGJAGMENCOWLVDYVCQ,2017-03-18 23:34:20.000,0,True,Worked out with minor complications.,"Tight fit, but works fine.",0.10000000000000002
5,Oil,Works very well,[],B07577WHPQ,B0B96MFXSJ,AHFURURV4H35BXUUTXYMJYA36CTQ,2019-12-30 08:34:08.810,0,True,Function and performance is good.,Effective; performs as expected; satisfactory.,0.10000000000000002
1,Don’t bother,Normally I like NYX products but not this one. It leaves a funny coating on your eyebrows and pushes them down so much they look thinner than they are.<br />Not worth it.,[],B01M5KNSQN,B01M5KNSQN,AFETVW7S5M4LVJ7GTWPCKT7S3YBQ,2022-04-10 23:42:11.604,0,True,NYX product caused eyebrow thinning problem.,NYX eyebrow product disappoints user.,0.2727272727272727
2,Not worth it,These fall apart easily...I would not buy again,[],B07KDNK11M,B07KDNK11M,AGF42GID7QWDCNFTJRCTMKAITJJA,2020-12-09 16:46:54.595,1,True,Product fell apart easily unusable.,"Fragile, unreliable, regrettable purchase decision.",0.0
4,Great headbands,These are nice and fit well and the masks loop in the right place to stay on your face,[],B08DLGCYK8,B08DLGCYK8,AGF42GID7QWDCNFTJRCTMKAITJJA,2020-11-25 10:40:01.565,0,True,Face masks fit comfortably securely.,"Masks fit well, stay on.",0.32500000000000007
5,Really nice quality,These are not what I was expecting. They are super nice quality and can almost be used as ear warmers. Vey thick and plush.  I ordered 3. One for my grand daughter and on for each of my nieces. They love them.,[],B081GCFHPG,B081GCFHPG,AE5DIA2HDWBPNGBO2FXN2PF4NQJA,2021-06-12 01:02:14.108,0,True,Reviewers pleased with ear warmer quality.,"Thick, plush headbands exceed expectations.",0.0
5,Nice and natural,"Very natural, light weight and good quality. I use on brides who are not use to lashes but still want a bit of length and definition.",[],B07H8Z3SMK,B07H8Z3SMK,AF2FTNKCY6XY67BKBUO4BNJRZ4XQ,2020-03-23 23:20:52.909,0,True,Natural mascara for gentle lash enhancement.,"Natural, lightweight, quality bridal lashes.",0.1818181818181818
5,LOVE these!!!,I bought a pack of these and loved themso much I immediately bought another pack. They are perfect all around and the price is great!,[],B08C9LZQN4,B08C9LZQN4,AHEQRHKGEACLR3RSXRQ7TUIXZGSQ,2020-10-25 00:39:46.842,0,True,Items exceeded buyer's expectations greatly.,"Loved them, bought more, perfect.",0.0
5,Nice colors and dries fast,Haven’t worn it very long yet so can’t comment on longevity but looks great and dried pretty fast.,"[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81H68QJM7uL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81H68QJM7uL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81H68QJM7uL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B07H281V4V,B07H281V4V,AHW7W34BLHHC4AYM4TPMLA2SWMMA,2020-12-31 17:13:27.770,0,True,Positive experience with new clothing purchase.,"Looks great, dries fast, untested.",0.0
1,waste of money,Plastic does not bend for matching your brows and will not lay against your skin for tinting at all. The shapes included are way too large and do not match the natural brow lines. Total waste of money.,[],B09FF97RHL,B09FF97RHL,AGVVUU3QRQBHNASSGI5YQLPYOI2Q,2022-04-01 14:55:07.536,0,True,Brow stickers are not suitable brow.,Plastic brow stencils are disappointing.,0.1818181818181818
5,Quality,Adorable and hold up just fine,[],B07Y5QX37B,B07Y5QX37B,AGG3LLILZEGKCA4SAS4Q7X2Y7ISQ,2020-02-28 14:44:19.423,0,True,Description of cute items holding steady.,"Cute, sturdy, meet expectations well.",0.0909090909090909
4,Did the job and looked great,"Loved it. The words worked out fine but the single pins broke right out of the package, so I threw them out, but I didn’t buy these for the single pins.",[],B07XYXSYCD,B07XYXSYCD,AGG3LLILZEGKCA4SAS4Q7X2Y7ISQ,2020-02-28 14:43:14.981,0,True,Product worked mostly as intended overall.,Loved words; single pins broke.,0.0
3,It does work,Be careful there are 3 similar looking packets in the box. 2 are peels and 1 is a moisture mask.,[],B07NSR3CKR,B07NSR3CKR,AH4O5W3EM4CKQGHMBVTSPCJRYF7Q,2019-06-08 13:04:32.586,0,True,Distinctly identify the product packaging.,"Beware: 2 peels, 1 mask.",0.0
5,Great multi pack of bands for a great price,Great multi pack of bands for a great price. They wash well in the laundry and don't lose any elasticity,[],B018T2SNE0,B07CJWG8SP,AH4O5W3EM4CKQGHMBVTSPCJRYF7Q,2017-02-01 13:32:35.000,0,True,Affordable bands with durability and quality.,"Affordable, durable, multi-pack hair bands.",0.25
5,Great for sensitive skin!,"I'm loving this!<br />I've been looking for a great serum for fine lines and have tried many. However my skin can be very sensitive so with many that I've tried, I've found that I wake up with puffier than usual eyes and some have even caused significant flaky dryness. Not this one! Have used nightly for a few weeks now and absolutely no issues. Absorbs quickly, nor burning.",[],B018F28B1Y,B018F28B1Y,AH4O5W3EM4CKQGHMBVTSPCJRYF7Q,2016-11-10 13:14:34.000,2,True,Happy with non-irritating skincare product.,"Effective, gentle serum for sensitive skin.",0.0
5,"Great value, stay power is good",Easy to use,[],B01HO1ZB7Y,B01HO1ZB7Y,AFPBVAEV3FCQOHKJJGAKQLZLTCZQ,2019-06-28 16:10:44.885,0,True,Very simple format available option.,Simple and straightforward to operate.,0.10000000000000002
5,Nice scent,Use it for my everyday cologne,[],B0040NQBAG,B0040NQBAG,AHSAUHUTLVNKJ72GUIPGI5XZH6ZA,2021-12-30 20:35:26.461,0,True,"I'm happy to help, but I don't see any text to summarize.",Cologne for daily personal use.,0.0
5,Nice gift for a friend,Wife gave them to a friend,[],B00JNI1DZQ,B00JNI1DZQ,AHSAUHUTLVNKJ72GUIPGI5XZH6ZA,2019-09-11 15:51:23.791,0,True,Wife gave gifts to a friend.,Wife gifted items to friend.,0.3636363636363636
5,Great product,Great product,[],B07T2L6JQR,B07T2L6JQR,AEEM2QIBMUUXEAJIEQH2WT2KNZZA,2022-07-03 18:07:28.888,0,True,The product is very great.,Great product. Concise summary delivered.,0.20000000000000004
5,Absolutely beautiful,"These diamond are absolutely beautiful and shine so well. Not cheesy like some of the colored diamonds can, does not look like cheap plastic at all.<br />I would definitely buy again.<br />Follow me on Instagram @theenailgame","[{'small_image_url': 'https://m.media-amazon.com/images/I/A1u4jV10XQL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/A1u4jV10XQL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/A1u4jV10XQL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B095SC4J8T,B095SC4J8T,AH4CGRSYSW5CWLRGQYRZKNJBUPAA,2021-08-17 02:11:43.947,0,True,Customer loves beautiful genuine diamonds.,"Beautiful, shiny, quality, satisfaction guaranteed.",0.10000000000000002
1,weird sizing.,sizing is all off,[],B087JNH3NC,B087JNH3NC,AH4CGRSYSW5CWLRGQYRZKNJBUPAA,2020-08-31 00:16:44.245,0,True,Clothing size measurements are inconsistent.,Incorrect sizing throughout the product.,0.10000000000000002
5,So cute,Super cute and great value!,[],B07SQ8193F,B07SQ8193F,AH4CGRSYSW5CWLRGQYRZKNJBUPAA,2020-03-26 08:27:31.700,0,True,Affordable product with excellent qualities.,"Adorable, affordable, and highly recommended!",0.10000000000000002
2,Not sure what this is but it's rough,This is rough on the skin.  I don't like it.  Not sure what it's supposed to do.,[],B09CQ4PXLN,B09CQ4PXLN,AHATA6X6MYTC3VNBFJ3WIYVK257A,2021-12-31 02:10:17.087,0,False,Painful sensation with unknown function.,"Rough, disliked, purpose unclear, skin.",0.0
4,Item does what it's supposed to do,"This mask support works great.  It does what it's supposed to do. It keeps your mask off of your mouth and nose, allowing more airflow.  You mouth and nose are still covered, but the fabric isn't right up against your face.",[],B08DXDLR3P,B08DXDLR3P,AHATA6X6MYTC3VNBFJ3WIYVK257A,2020-08-30 01:45:54.697,0,False,Monogram mask strap support works well.,Mask support improves airflow effectively.,0.1818181818181818
4,"These are easy to use, but take long to put in",my hair is long.  It took a long time to get these put in.  The curls were great. These rollers would be great for someone who wants to sleep in them. I didn't find it worth it to use during the day.<br /><br />Good curlers with no heat.  I prefer my hot rollers.,[],B0875V791H,B0875V791H,AHATA6X6MYTC3VNBFJ3WIYVK257A,2020-07-23 19:48:22.899,0,False,Curling roller set without heat recommended.,"Long hair, curled, no heat.",0.1818181818181818
4,I like the angle of this dermaplaning blade,"I do like the angle of this dermaplaning blade, other than that, it's basically a razor.  It preforms just like any other razor blade other than the way you hold it.  I can't say it's something special due to this.  The cleaning brush is great and needs to be used since the hair stays in the blades.",[],B07LBK2YQX,B07LBK2YQX,AHATA6X6MYTC3VNBFJ3WIYVK257A,2019-05-24 00:54:01.786,0,False,Dermaplaning blade with a cleaning brush.,"Angled blade, performs like razor.",0.0909090909090909
